node, assignment, time2inf, time2death
0,na,-1,0
1,na,-1,0
2,na,-1,0
3,na,-1,0
4,c,43.13359839477749,43.13359839477749
5,c,43.13359839477749,43.13359839477749
6,c,43.13359839477749,43.13359839477749
7,c,43.13359839477749,43.13359839477749
8,c,43.13359839477749,43.13359839477749
9,c,43.13359839477749,43.13359839477749
10,c,43.13359839477749,43.13359839477749
11,t,43.13359839477749,43.13359839477749
12,c,12.367679994840598,12.980215676048466
13,c,43.13359839477749,43.13359839477749
14,c,43.13359839477749,43.13359839477749
15,c,43.13359839477749,43.13359839477749
16,c,43.13359839477749,43.13359839477749
17,c,43.13359839477749,43.13359839477749
18,t,43.13359839477749,43.13359839477749
19,c,43.13359839477749,43.13359839477749
20,c,43.13359839477749,43.13359839477749
21,t,43.13359839477749,43.13359839477749
22,c,43.13359839477749,43.13359839477749
23,t,43.13359839477749,43.13359839477749
24,na,0,3.311452417227199
25,t,43.13359839477749,43.13359839477749
26,c,43.13359839477749,43.13359839477749
27,c,43.13359839477749,43.13359839477749
28,c,43.13359839477749,43.13359839477749
29,c,43.13359839477749,43.13359839477749
30,c,43.13359839477749,43.13359839477749
31,c,43.13359839477749,43.13359839477749
32,c,43.13359839477749,43.13359839477749
33,c,43.13359839477749,43.13359839477749
34,c,43.13359839477749,43.13359839477749
35,c,43.13359839477749,43.13359839477749
36,c,43.13359839477749,43.13359839477749
37,t,43.13359839477749,43.13359839477749
38,t,43.13359839477749,43.13359839477749
39,c,43.13359839477749,43.13359839477749
40,c,43.13359839477749,43.13359839477749
41,c,43.13359839477749,43.13359839477749
42,t,43.13359839477749,43.13359839477749
43,c,43.13359839477749,43.13359839477749
44,c,43.13359839477749,43.13359839477749
45,c,43.13359839477749,43.13359839477749
46,c,43.13359839477749,43.13359839477749
47,c,43.13359839477749,43.13359839477749
48,t,43.13359839477749,43.13359839477749
49,c,43.13359839477749,43.13359839477749
50,t,43.13359839477749,43.13359839477749
51,c,43.13359839477749,43.13359839477749
52,c,43.13359839477749,43.13359839477749
53,c,6.625843524500601,13.725162968259596
54,c,43.13359839477749,43.13359839477749
55,t,43.13359839477749,43.13359839477749
56,c,43.13359839477749,43.13359839477749
57,c,43.13359839477749,43.13359839477749
58,c,43.13359839477749,43.13359839477749
59,t,43.13359839477749,43.13359839477749
60,c,43.13359839477749,43.13359839477749
61,c,43.13359839477749,43.13359839477749
62,c,43.13359839477749,43.13359839477749
63,c,8.596985953495293,12.55030348721324
64,c,43.13359839477749,43.13359839477749
65,c,43.13359839477749,43.13359839477749
66,c,43.13359839477749,43.13359839477749
67,c,43.13359839477749,43.13359839477749
68,c,43.13359839477749,43.13359839477749
69,c,43.13359839477749,43.13359839477749
70,c,43.13359839477749,43.13359839477749
71,c,43.13359839477749,43.13359839477749
72,c,43.13359839477749,43.13359839477749
73,c,43.13359839477749,43.13359839477749
74,c,43.13359839477749,43.13359839477749
75,c,23.15937985313488,25.894562462216264
76,c,43.13359839477749,43.13359839477749
77,t,43.13359839477749,43.13359839477749
78,c,43.13359839477749,43.13359839477749
79,c,43.13359839477749,43.13359839477749
80,c,43.13359839477749,43.13359839477749
81,c,43.13359839477749,43.13359839477749
82,c,43.13359839477749,43.13359839477749
83,c,43.13359839477749,43.13359839477749
84,c,43.13359839477749,43.13359839477749
85,t,43.13359839477749,43.13359839477749
86,t,43.13359839477749,43.13359839477749
87,c,43.13359839477749,43.13359839477749
88,c,43.13359839477749,43.13359839477749
89,t,43.13359839477749,43.13359839477749
90,t,43.13359839477749,43.13359839477749
91,c,43.13359839477749,43.13359839477749
92,c,43.13359839477749,43.13359839477749
93,c,43.13359839477749,43.13359839477749
94,t,43.13359839477749,43.13359839477749
95,c,43.13359839477749,43.13359839477749
96,c,43.13359839477749,43.13359839477749
97,c,43.13359839477749,43.13359839477749
98,c,43.13359839477749,43.13359839477749
99,na,0,5.581111025422225
100,c,43.13359839477749,43.13359839477749
101,c,43.13359839477749,43.13359839477749
102,c,43.13359839477749,43.13359839477749
103,c,43.13359839477749,43.13359839477749
104,c,43.13359839477749,43.13359839477749
105,c,43.13359839477749,43.13359839477749
106,t,43.13359839477749,43.13359839477749
