node, assignment, time2inf, time2death
73,c,125.018475180397,125.018475180397
74,t,125.018475180397,125.018475180397
75,c,125.018475180397,125.018475180397
76,t,125.018475180397,125.018475180397
77,t,62.05356639512047,65.87380451798671
78,t,125.018475180397,125.018475180397
79,c,125.018475180397,125.018475180397
80,t,125.018475180397,125.018475180397
81,t,125.018475180397,125.018475180397
82,t,125.018475180397,125.018475180397
83,t,125.018475180397,125.018475180397
84,na,0,8.824874005054014
85,t,125.018475180397,125.018475180397
86,t,125.018475180397,125.018475180397
87,t,125.018475180397,125.018475180397
88,c,125.018475180397,125.018475180397
89,c,125.018475180397,125.018475180397
90,t,125.018475180397,125.018475180397
91,t,125.018475180397,125.018475180397
92,c,125.018475180397,125.018475180397
93,t,125.018475180397,125.018475180397
94,c,125.018475180397,125.018475180397
95,t,125.018475180397,125.018475180397
96,c,125.018475180397,125.018475180397
97,t,11.475566462488946,11.63407205673486
98,t,125.018475180397,125.018475180397
99,c,125.018475180397,125.018475180397
100,c,125.018475180397,125.018475180397
101,c,29.410513451901753,39.46421053630768
102,c,125.018475180397,125.018475180397
103,t,125.018475180397,125.018475180397
104,c,125.018475180397,125.018475180397
105,c,125.018475180397,125.018475180397
106,t,125.018475180397,125.018475180397
107,t,125.018475180397,125.018475180397
108,na,7.279853857823031,9.786810842158088
109,t,125.018475180397,125.018475180397
110,t,125.018475180397,125.018475180397
111,c,125.018475180397,125.018475180397
112,c,125.018475180397,125.018475180397
113,c,125.018475180397,125.018475180397
114,t,125.018475180397,125.018475180397
115,t,80.52721503131461,80.60589671838632
116,t,125.018475180397,125.018475180397
117,c,125.018475180397,125.018475180397
118,t,125.018475180397,125.018475180397
119,c,3.782851175839726,5.636035454603174
120,t,125.018475180397,125.018475180397
121,c,125.018475180397,125.018475180397
122,t,125.018475180397,125.018475180397
123,t,35.36890330334688,37.220960731166564
124,t,125.018475180397,125.018475180397
125,c,125.018475180397,125.018475180397
126,c,125.018475180397,125.018475180397
127,c,125.018475180397,125.018475180397
128,c,125.018475180397,125.018475180397
129,t,125.018475180397,125.018475180397
130,c,125.018475180397,125.018475180397
131,t,125.018475180397,125.018475180397
132,t,25.5808050376601,125.018475180397
133,c,125.018475180397,125.018475180397
