node, assignment, time2inf_trt
0,na,150
1,na,83.90018176374055
2,na,150
3,na,92.70940946777529
4,na,79.50671217154307
5,na,80.9018605873222
6,na,24.421436148961185
7,na,78.39115454753858
8,na,36.95102626348466
9,na,150
10,na,150
11,na,91.15518249287378
12,na,150
13,na,150
14,na,89.72557440435702
15,na,150
16,na,50.522111082676936
17,na,38.08150047560921
18,na,150
19,na,150
20,na,150
21,na,150
22,na,71.1693140426804
23,na,36.82403656848149
24,na,150
25,na,150
26,na,96.85888833971235
27,na,150
28,na,76.92158427306589
29,na,64.77651626911926
30,na,150
31,na,150
32,na,64.5157993931116
33,na,150
34,na,150
35,na,20.02157407504513
36,na,150
37,na,54.122614282307076
38,na,51.11351177624601
39,na,77.79774121782269
40,na,73.56848500590273
41,na,150
42,na,78.798994207125
43,na,99.43806451283922
44,na,82.44860614219706
45,na,150
46,na,150
47,na,41.63201760473388
48,na,150
49,na,150
50,na,150
51,na,150
52,na,54.55670827597985
53,na,150
54,na,46.01795890332013
55,na,46.26094313703134
56,na,37.436390110162606
57,na,78.11363271055968
58,na,150
59,na,74.54539638728133
60,na,150
61,na,57.01499226301565
62,na,150
63,na,55.64588954217594
64,na,63.227981952579675
65,na,69.79835952555844
66,na,36.14206751606864
67,na,87.24870750497045
68,na,51.87215496650332
69,na,66.01002999226081
70,na,150
71,na,150
72,na,130.07260944811887
73,na,150
74,na,73.7556113242364
75,na,150
76,na,150
77,na,60.45216884335699
78,na,150
79,na,60.01110957187786
80,na,100.81241621993111
81,na,26.482154800980954
82,na,150
83,na,59.997197465850974
84,na,36.694879432468746
85,na,150
86,na,37.436540761808196
87,na,70.43530399514923
88,na,150
89,na,150
90,na,150
91,na,51.19996139631646
92,na,57.80462072710062
93,na,150
94,na,81.9470808904876
95,na,68.47869788016301
96,na,59.17793071148555
97,na,150
98,na,91.17921683036289
99,na,150
100,na,55.206211320607856
101,na,93.13833389099634
102,na,48.05871556560998
103,na,97.72344477305809
104,na,150
105,na,150
106,na,65.71183222065466
107,na,87.60368636569056
108,na,150
109,na,150
110,na,150
111,na,150
112,na,150
113,na,87.62425468195009
114,na,53.45300636884873
115,na,150
116,na,150
117,na,150
118,na,150
119,na,150
120,na,150
121,na,150
122,na,62.20785644488171
123,na,85.36077824453798
124,na,29.047558450090765
125,na,66.56829784933025
126,na,56.78976445666921
127,na,81.24072941955245
128,na,71.26622579272569
129,na,65.63351887663114
130,na,40.69283140690353
131,na,40.212093536339246
132,na,150
133,na,150
134,na,150
135,na,36.70747912781913
136,na,150
137,na,60.416326589487554
138,na,150
139,na,150
140,na,150
141,na,60.02873661232389
142,na,45.57374519200338
143,na,150
144,na,65.56051339170303
145,na,150
146,na,54.972094520369495
147,na,150
148,na,150
149,na,47.04729822723991
150,na,62.020968448037074
151,na,91.79290496412855
152,na,75.33007290244835
153,na,55.67352616565862
154,na,52.49529098854807
155,na,57.90290780699363
156,na,79.05987726612906
157,na,150
158,na,49.03987021314937
159,na,150
160,na,60.3270925933506
161,na,99.34828981087416
162,na,96.66541766505132
163,na,150
164,na,87.81874456302249
165,na,150
166,na,150
167,na,150
168,na,122.5355424570691
169,na,56.2787013764851
170,na,83.07348878442802
171,na,55.94098558946114
172,na,27.46083273046189
173,na,64.72180200888744
174,na,60.004615147769854
175,na,150
176,na,150
177,na,71.095690060722
178,na,67.48625502549382
179,na,47.82153288556909
180,na,28.32603278194839
181,na,62.634855948302636
182,na,150
183,na,39.446012215444824
184,na,150
185,na,150
186,na,64.36664877569254
187,na,150
188,na,36.67520240010447
189,na,109.582354951685
190,na,60.45861528759218
191,na,59.139637039381476
192,na,94.45275807642889
193,na,77.82736167797964
194,na,150
195,na,23.303675003283942
196,na,51.018221424886825
197,na,150
198,na,82.10034847127523
199,na,53.67524361093518
200,na,56.17384804481073
201,na,81.34657962160611
202,na,67.95850180143323
