node, assignment, time2inf_trt
0,na,9.670557397463615
1,na,9.670557397463615
2,na,1000
3,na,1000
4,e,1000
5,na,74.0142993835231
6,na,1000
7,na,47.744044941651154
8,e,1000
9,e,1000
10,na,1000
11,na,58.47995783706159
12,na,1000
13,na,1000
14,na,1000
15,na,73.13575774655926
16,na,40.170742979350436
17,e,99.75253239783783
18,na,102.21391270855533
19,na,68.02939013187323
20,na,83.38011459876908
21,e,1000
22,na,1000
23,na,107.3344425673064
24,na,1000
25,e,72.68238637808612
26,e,1000
27,na,91.29861872159788
28,na,1000
29,e,94.05436750920136
30,na,82.84364398277718
31,na,96.57049717492505
32,na,1000
33,e,1000
34,na,51.868575720261134
35,e,1000
36,na,1000
37,na,43.63014334943405
38,na,1000
39,na,44.06460569422214
40,na,82.89336320217485
41,na,63.27949002161641
42,na,95.82341662480196
43,na,60.23045625741115
44,na,72.90625256130652
45,na,1000
46,na,69.90016775808319
47,na,103.20804186911872
48,na,1000
49,na,41.374411603893705
50,na,1000
51,na,1000
52,e,1000
53,e,1000
54,na,1000
55,na,1000
56,na,90.45733270440975
57,na,1000
58,na,70.98574313231956
59,na,1000
60,na,1000
61,e,1000
62,na,97.74515849545098
63,e,114.7542772953921
64,na,1000
65,e,1000
66,e,1000
67,e,1000
68,e,137.30909765911062
69,na,126.8044056742857
70,na,1000
71,e,1000
72,na,89.25622354073569
73,na,43.26629095958779
74,na,1000
75,na,1000
76,na,1000
77,na,111.78025730544866
78,e,1000
79,e,1000
80,na,1000
81,na,76.174931349483
82,na,1000
83,na,1000
84,e,1000
85,e,71.89763284635706
86,na,111.84937929147198
87,na,1000
88,na,1000
89,na,110.0907387890817
90,na,1000
91,e,1000
92,na,84.52346856983476
93,na,1000
94,na,63.75231482531221
95,e,1000
96,na,1000
97,na,49.09612751212981
98,na,68.62706484174207
99,na,60.365643517868165
100,na,1000
101,na,63.12043421322899
102,na,82.21221663949301
103,na,1000
104,na,1000
105,na,1000
106,na,1000
107,na,1000
108,na,1000
109,na,30.243105018317998
110,na,1000
111,e,38.06212239398756
112,na,19.730800706894563
113,e,1000
114,na,79.37686645578094
115,na,90.83108868227387
116,na,92.32158355514068
117,na,65.53438877859044
118,na,1000
119,na,90.63912042367893
120,na,83.0438653758166
121,na,148.76099648832678
122,na,1000
123,na,115.53363129654274
124,na,82.99560535923867
125,na,1000
126,na,1000
127,e,1000
128,na,81.6568529669429
129,na,101.19854608890068
130,e,1000
131,na,1000
132,e,1000
133,na,1000
134,e,1000
135,na,1000
136,e,1000
137,e,1000
138,na,57.252635135746615
139,na,68.04277252068904
140,na,1000
141,na,72.12884209719064
142,na,79.38403157464192
143,na,82.22670896092296
144,e,1000
145,na,1000
146,e,1000
147,na,1000
148,na,93.53314235637082
149,na,1000
150,na,67.66266055898873
151,na,1000
152,e,1000
153,na,109.14500974417074
154,na,1000
155,na,1000
156,na,1000
157,na,91.66568981600231
158,na,88.95597983919845
159,na,81.43630421397202
160,na,1000
161,na,41.78910020612422
162,na,1000
163,na,1000
164,na,33.3041506429552
165,e,1000
166,e,120.3934506574755
167,e,1000
168,na,83.65272276463402
169,na,1000
170,na,83.75558186816266
171,na,1000
172,e,1000
173,na,1000
174,na,51.91740196995234
175,na,82.5813842780221
176,na,1000
177,na,71.16549692067373
178,e,1000
179,e,1000
180,na,1000
181,e,1000
182,na,1000
183,e,61.82489638525041
184,e,1000
185,na,1000
186,na,1000
187,na,67.33720124892245
188,na,1000
189,na,1000
190,na,9.670557397463615
191,e,1000
192,na,1000
193,na,101.37248540751601
194,na,44.61934415743015
195,e,68.92512372232817
196,na,26.15189651188019
197,na,22.92672403465283
198,e,1000
199,na,95.2572789256678
200,na,87.03291446176935
201,na,123.44636780100727
202,na,38.02521657624748
203,na,71.13605600224872
204,na,1000
205,na,84.15367851061711
206,na,95.58558030870284
207,na,1000
208,e,1000
209,na,47.262504162645186
210,na,99.1423453678291
211,na,1000
212,na,63.40339629394171
213,e,71.96906905354557
214,na,86.76768873104744
215,na,1000
216,na,59.32398650502007
217,na,1000
218,na,11.15221519903089
219,na,99.06109698995986
220,na,77.25646305000537
221,na,1000
222,na,1000
223,na,1000
224,e,1000
225,na,1000
226,na,1000
227,e,1000
228,e,1000
229,na,1000
230,na,92.02587344110277
231,e,1000
232,na,87.99413424631656
233,na,1000
234,na,59.41481610664974
235,na,62.73238395052883
236,e,1000
237,na,79.31724865258055
238,e,1000
239,e,1000
240,na,1000
241,na,71.60836505802779
242,na,100.51475802106853
243,na,67.72450573493019
244,na,1000
245,e,1000
246,na,100.37054140797393
247,na,1000
248,na,1000
249,na,1000
250,na,1000
251,na,1000
252,e,1000
253,e,1000
254,na,1000
255,na,78.17160740348099
256,na,86.60701867636143
257,e,1000
258,na,43.04323780020418
259,e,1000
260,e,1000
261,na,79.7675974778219
262,e,1000
263,na,75.56688271143298
264,na,1000
265,na,86.84726533467251
266,na,52.65873149546293
267,na,115.75781232146375
268,na,20.43554692526799
269,na,1000
270,e,1000
271,na,1000
272,e,1000
273,na,1000
274,na,57.713158996338066
275,na,1000
276,na,99.51062673024641
277,na,1000
278,na,1000
279,e,1000
280,na,1000
281,na,1000
282,e,1000
283,na,95.19541205014079
284,na,1000
285,na,96.46484061489826
286,na,39.67043894023375
287,na,1000
288,na,1000
289,na,130.85438568253906
290,e,1000
291,na,1000
292,e,1000
293,na,1000
294,na,1000
295,na,46.668901477426516
296,na,57.807356080481796
297,na,1000
298,na,1000
299,na,1000
300,na,1000
301,na,1000
302,na,86.92824908724742
303,na,96.09495728225068
304,na,69.32749700597711
305,e,1000
306,na,118.45336372634118
307,na,1000
308,na,74.03128543348124
309,na,61.60373568827757
310,e,1000
311,na,99.58096565848089
312,na,1000
313,e,1000
314,na,82.21589140718875
315,na,1000
316,e,1000
317,e,1000
318,na,1000
319,na,1000
320,na,99.08095087401423
321,e,1000
322,na,31.950716392866052
323,na,1000
324,na,1000
325,na,59.075896989758164
326,na,1000
327,na,74.12239733328832
328,na,1000
329,na,55.62804459082787
330,na,1000
331,na,104.02090554545448
332,na,101.06556253562947
333,na,23.26028638821487
334,na,1000
335,na,1000
336,na,1000
337,na,1000
338,na,115.6276149538029
339,na,1000
340,na,103.68160950259417
341,na,1000
342,na,110.97852831529433
343,na,1000
344,na,1000
345,na,117.99217691869971
346,na,1000
347,na,1000
348,na,1000
349,na,1000
350,na,1000
351,na,110.94139511201679
352,na,34.513737861287574
353,na,82.4523214841543
354,na,1000
355,e,1000
356,na,85.19347995126562
357,na,79.06757306335282
358,na,1000
359,na,1000
360,na,1000
361,na,1000
362,na,67.4250757073995
363,e,1000
364,na,1000
365,na,1000
366,na,93.70618711383183
367,na,88.15051339553764
368,na,1000
369,e,1000
370,na,79.23627908391741
371,na,1000
372,na,114.16006214021307
373,na,45.684026620929046
374,na,1000
375,na,56.673442956595125
376,e,1000
377,e,1000
378,na,86.14677399338927
379,na,1000
380,na,1000
381,na,118.67214963347557
382,na,1000
383,na,88.57415423447038
384,na,1000
385,na,37.4195193076234
386,na,51.41770379476942
387,na,76.0304033995509
388,na,1000
389,na,79.82355429397883
390,na,1000
391,na,1000
392,na,1000
393,na,1000
394,e,101.3962596517747
395,na,114.25389121932442
396,na,95.26066657671291
397,na,1000
398,e,1000
399,e,1000
400,na,1000
401,na,147.79537191832014
402,na,1000
403,na,1000
404,e,1000
405,na,1000
406,na,43.34950555466986
407,na,114.2591991041813
408,na,1000
409,na,1000
410,na,1000
411,na,46.74009650433311
412,e,1000
413,na,50.53788044961776
414,na,63.36687680668675
415,na,1000
416,na,1000
417,na,85.97436355806242
418,na,1000
419,na,1000
420,na,66.41717564157943
421,e,1000
422,na,1000
423,na,90.3754200575505
424,na,1000
425,na,111.42952253701333
426,e,61.031250174257096
427,na,71.48551289122287
428,na,100.55215237311432
429,na,112.50541141186966
430,e,1000
431,na,155.95297115810683
432,na,1000
433,na,1000
434,na,77.43301953784989
435,na,61.64131702609181
436,na,102.87479433593515
437,na,37.440044480076615
438,na,47.76158828666311
439,na,1000
440,na,65.03000883493236
441,e,1000
442,na,1000
443,na,1000
444,na,1000
445,na,1000
446,na,1000
447,na,111.03878630639795
448,na,83.17003631232366
449,na,70.1040873631332
450,na,1000
451,na,70.09045815520061
452,na,1000
453,na,1000
454,na,123.09337394946375
455,na,94.45484024417082
456,e,1000
457,e,1000
458,e,1000
459,na,1000
460,na,1000
461,na,40.674837739669506
462,na,43.97937334557618
463,na,40.67889949445495
464,na,1000
465,na,9.670557397463615
466,na,1000
467,na,1000
468,na,132.4560531834294
469,na,104.43979052135779
470,e,1000
471,na,1000
472,na,1000
473,na,1000
474,na,1000
475,na,85.6650861881611
476,na,1000
477,na,87.7351344625406
478,na,1000
479,na,1000
480,na,110.32674750130766
481,na,47.30399651710292
482,na,1000
483,na,1000
484,na,1000
485,na,1000
486,na,86.76173692468903
487,na,122.71226733791548
488,na,91.57854032413407
489,na,20.187419850224455
490,e,1000
491,na,57.12048343279474
492,na,94.43398019631168
493,e,1000
494,e,121.2579296329649
495,na,1000
496,na,1000
497,na,1000
498,na,1000
499,na,1000
500,na,51.629285719633856
501,na,1000
502,e,1000
503,e,1000
504,e,1000
505,na,74.47771796658643
506,na,1000
507,na,95.51635205968961
508,na,101.27014104534977
509,na,89.03828616202367
510,na,1000
511,na,1000
512,na,1000
513,na,96.29831042763112
514,na,1000
515,na,68.32319057418165
516,na,72.33913016968745
517,na,1000
518,na,1000
519,e,1000
520,na,77.645495061699
521,na,90.56048998827443
522,na,88.03536167137729
523,na,76.98784864906887
524,na,1000
525,na,98.48969117539863
526,e,1000
527,e,1000
528,e,1000
529,na,1000
530,na,1000
531,na,99.4306140187935
532,na,1000
533,na,132.24974871675653
534,na,103.5297951416002
535,e,1000
536,na,47.32719831900175
537,na,1000
538,na,56.67512915438482
539,na,12.866237920010335
540,na,101.2948509255395
541,na,1000
542,na,78.4078709127259
543,na,1000
544,na,1000
545,na,53.26432482426205
546,na,1000
547,na,105.35826104742075
548,e,44.67782038860466
549,na,57.14030102776222
550,na,9.670557397463615
551,na,1000
552,na,1000
553,na,49.38248633271978
554,na,1000
555,na,37.45945218754992
556,na,55.87467456765003
557,na,1000
558,na,1000
559,e,32.151558592971355
560,na,1000
561,na,79.13283953760116
562,e,1000
563,na,1000
564,na,65.66361410553016
565,na,1000
566,na,1000
567,na,104.07275176595957
568,na,142.25934354379538
569,e,1000
570,na,1000
571,na,1000
572,na,1000
573,e,1000
574,na,1000
575,e,1000
576,na,1000
577,na,126.3904221203025
578,e,1000
579,na,84.43507245183189
580,na,1000
581,na,111.80142442704982
582,na,56.25719162170277
583,na,74.04115652659435
584,na,63.20340556346186
585,na,37.027856707806805
586,na,1000
587,na,77.37331828742506
588,na,88.1305355415068
589,na,1000
590,na,1000
591,e,1000
592,na,1000
593,e,1000
594,e,1000
595,na,1000
596,na,1000
597,na,55.699163365656716
598,na,1000
599,na,90.5631081166788
600,na,115.46605764362796
601,na,1000
602,na,93.97725186784663
