node, assignment, time2inf_trt, time2death_trt, time2inf_con, time2death_con
0,na,-1,0,-1,0
1,na,284.6371299758681,4.610867646177821,352.69628751779095,0.7015647509238527
2,na,-1,0,-1,0
3,na,-1,0,-1,0
4,na,284.6371299758681,284.6371299758681,5.232978472336087,352.69628751779095
5,na,22.763510992271847,284.6371299758681,352.69628751779095,352.69628751779095
6,na,7.03882447734722,29.28677205902128,42.03665635658681,352.69628751779095
7,na,284.6371299758681,284.6371299758681,352.69628751779095,352.69628751779095
8,na,19.05871543772475,284.6371299758681,5.445725901373158,352.69628751779095
9,e,284.6371299758681,284.6371299758681,14.88616666950853,352.69628751779095
10,na,284.6371299758681,284.6371299758681,352.69628751779095,352.69628751779095
11,na,3.811508346578099,284.6371299758681,12.401296569162838,352.69628751779095
12,na,14.400703445076378,284.6371299758681,352.69628751779095,352.69628751779095
13,e,284.6371299758681,284.6371299758681,352.69628751779095,352.69628751779095
14,na,55.44301647460855,284.6371299758681,103.131411513242,352.69628751779095
15,na,284.6371299758681,284.6371299758681,352.69628751779095,352.69628751779095
16,na,0,284.6371299758681,0,352.69628751779095
17,na,19.78086947833901,284.6371299758681,171.24365033252127,352.69628751779095
18,e,16.470385866717177,284.6371299758681,10.402304935213545,352.69628751779095
19,na,284.6371299758681,284.6371299758681,352.69628751779095,352.69628751779095
20,na,18.791452040514493,284.6371299758681,352.69628751779095,352.69628751779095
21,na,12.118204710925237,284.6371299758681,0.7006436893336422,352.69628751779095
22,na,284.6371299758681,284.6371299758681,352.69628751779095,352.69628751779095
23,na,50.60476975501424,284.6371299758681,352.69628751779095,352.69628751779095
24,na,284.6371299758681,284.6371299758681,6.2149792640329276,352.69628751779095
25,na,10.544176937901728,284.6371299758681,143.33345751277517,178.74623992022092
26,na,0,284.6371299758681,0,352.69628751779095
27,na,284.6371299758681,284.6371299758681,352.69628751779095,352.69628751779095
28,na,284.6371299758681,284.6371299758681,64.96557888556059,352.69628751779095
29,na,284.6371299758681,284.6371299758681,352.69628751779095,352.69628751779095
30,e,32.055000266462834,284.6371299758681,352.69628751779095,352.69628751779095
31,na,284.6371299758681,284.6371299758681,352.69628751779095,352.69628751779095
32,e,1.877347749377641,284.6371299758681,3.0505325860211827,352.69628751779095
33,na,284.6371299758681,284.6371299758681,152.3313180240382,352.69628751779095
34,na,3.8118158117134016,284.6371299758681,39.23983428855971,352.69628751779095
35,na,284.6371299758681,284.6371299758681,29.940303690140937,352.69628751779095
36,na,284.6371299758681,2.7896264748556,352.69628751779095,6.264130947774433
37,na,20.59710326733575,284.6371299758681,154.81243581197154,352.69628751779095
38,na,3.3991407299221468,41.90478817995002,352.69628751779095,352.69628751779095
39,na,1.1758548468283212,284.6371299758681,10.096809184455722,352.69628751779095
40,na,0,284.6371299758681,0,352.69628751779095
41,na,55.72404610376423,284.6371299758681,272.26831822366444,352.69628751779095
42,e,284.6371299758681,284.6371299758681,352.69628751779095,352.69628751779095
43,na,55.568447711604115,284.6371299758681,60.043630702192566,352.69628751779095
