node, assignment, time2inf_trt
0,ne_ni,1000
1,ne_ni,31.872736053442942
2,ne_ni,70.43744629579191
3,ne_ni,107.87020113124747
4,e,52.9027687921897
5,ne_ni,0
6,ne_ni,64.36259243072135
7,ne_ni,1000
8,ne_ni,117.03213922032865
9,ne_ni,92.90772030308543
10,ne_ni,82.2408444637717
11,ne_ni,95.70656926496335
12,ne_ni,120.55960317116632
13,ne_ni,1000
14,ne_ni,1000
15,ne_ni,1000
16,ne_ni,68.84060250999268
17,ne_ni,74.5494302168952
18,ne_ni,101.79307385251515
19,ne_ni,67.33460768144181
20,ne_ni,1000
21,ne_ni,85.9775571505493
22,ne_ni,69.50290863350146
23,ne_ni,55.01703100564337
24,ne_ni,1000
25,ne_ni,81.53639677978921
26,ne_ni,1000
27,ne_ni,1000
28,ne_ni,87.2704531290551
29,ne_ni,66.05550914605236
30,ne_ni,43.57575985954037
31,e,1000
32,ne_ni,98.3829346999052
33,ne_ni,64.33772059417548
34,ne_ni,1000
35,ne_ni,1000
36,ne_ni,1000
37,ne_ni,1000
38,ne_ni,1000
39,ne_ni,124.05397781982967
40,ne_ni,84.89237132703511
41,ne_ni,90.12487843572238
42,ne_ni,68.809009238426
43,ne_ni,1000
44,e,1000
45,ne_ni,94.04451193666803
46,ne_ni,73.39634348857797
47,ne_ni,51.94384467963332
48,ne_ni,66.575997941717
49,ne_ni,1000
50,ne_ni,76.32603925210212
51,ne_ni,77.41711492434479
52,ne_ni,1000
53,ne_ni,80.72607624192892
54,ne_ni,1000
55,ne_ni,103.9312982252261
56,ne_ni,47.43513768545629
57,ne_ni,66.5653523449118
58,ne_ni,1000
59,ne_ni,1000
60,ne_ni,92.8062826520903
61,ne_ni,1000
62,ne_ni,1000
63,ne_ni,71.84052574256474
64,ne_ni,1000
65,ne_ni,93.8465420833178
66,ne_ni,1000
67,ne_ni,1000
68,ne_ni,77.7066088534246
69,e,67.70836308739747
70,ne_ni,120.55058615986253
71,ne_ni,95.96947199694307
72,ne_ni,115.45740719925526
73,ne_ni,98.13731087810476
74,e,1000
75,ne_ni,88.16534019579598
76,ne_ni,84.80355090062476
77,ne_ni,82.56959495776067
78,ne_ni,57.380313883017365
79,ne_ni,1000
80,ne_ni,1000
81,e,1000
82,ne_ni,62.3795320038002
83,ne_ni,81.66956087292887
84,ne_ni,86.00942169758218
85,ne_ni,36.61770322676605
86,ne_ni,1000
87,ne_ni,1000
88,ne_ni,62.294145933444696
89,ne_ni,89.69747499164136
90,ne_ni,99.7182474876348
91,ne_ni,1000
92,ne_ni,1000
93,ne_ni,70.46640749431955
94,ne_ni,52.02258355045816
95,ne_ni,1000
96,e,1000
97,ne_ni,97.77673519489282
98,ne_ni,77.50082181022088
99,ne_ni,71.03787745430257
100,ne_ni,81.68437022364367
101,ne_ni,95.54370111245528
102,ne_ni,1000
