node, assignment, time2inf_trt, time2death_trt, time2inf_con, time2death_con
0,na,-1,0,-1,0
1,na,-1,0,-1,0
2,na,0,85.43325066821063,0,98.98939580881994
3,na,0,6.483643793747323,0,30.513379643104614
4,na,85.43325066821063,85.43325066821063,22.817277482073028,26.38972194373931
5,na,85.43325066821063,85.43325066821063,20.648944721873598,21.45543008052267
6,na,85.43325066821063,85.43325066821063,98.98939580881994,98.98939580881994
7,na,85.43325066821063,85.43325066821063,13.200675200170792,36.52262588800202
8,na,85.43325066821063,85.43325066821063,42.810685449479195,50.450325920578386
9,na,85.43325066821063,85.43325066821063,29.94011123640833,34.088488345313834
10,na,19.46394772486174,21.347144250065604,19.865008877956786,24.679720471874006
11,e,31.4435247217699,42.848993335620406,42.1421139991832,91.60737896443399
12,na,85.43325066821063,85.43325066821063,19.82376393253881,22.616829296743553
13,na,85.43325066821063,85.43325066821063,11.383158560455223,13.085917496493112
14,na,7.817961743215873,18.914362624345216,19.810105231400883,27.183555164074654
15,na,85.43325066821063,85.43325066821063,18.857516715314734,65.68792523620304
16,na,85.43325066821063,85.43325066821063,11.49438176976636,20.179554454786526
17,na,85.43325066821063,85.43325066821063,14.657289736935958,17.334498221602416
18,na,85.43325066821063,85.43325066821063,98.98939580881994,98.98939580881994
19,na,85.43325066821063,85.43325066821063,28.25816753252384,28.623019956446207
20,na,85.43325066821063,85.43325066821063,34.31005249182238,42.34313745908318
21,e,85.43325066821063,85.43325066821063,26.17304187018306,30.438098944742695
22,na,85.43325066821063,85.43325066821063,98.98939580881994,98.98939580881994
23,e,85.43325066821063,85.43325066821063,17.98992856259735,98.98939580881994
24,na,85.43325066821063,85.43325066821063,28.066633564972797,34.506857456543955
25,na,23.31199091146367,85.43325066821063,10.973417655546351,18.292783696755613
26,na,85.43325066821063,85.43325066821063,44.289762163977,44.8917617439591
27,na,85.43325066821063,85.43325066821063,21.127132906385295,22.093785158820662
28,na,85.43325066821063,85.43325066821063,98.98939580881994,98.98939580881994
29,na,85.43325066821063,85.43325066821063,22.99907143882887,34.63124502900526
30,na,85.43325066821063,85.43325066821063,98.98939580881994,98.98939580881994
31,na,85.43325066821063,85.43325066821063,13.789442274010392,16.462533519460642
32,na,85.43325066821063,85.43325066821063,98.98939580881994,98.98939580881994
33,na,85.43325066821063,85.43325066821063,13.09634188489352,14.92568682481278
34,na,85.43325066821063,85.43325066821063,26.271631470545145,27.227187866990306
35,na,85.43325066821063,85.43325066821063,35.24978749986021,41.1240085669499
36,na,85.43325066821063,85.43325066821063,25.135833132045875,42.256074773295495
37,na,85.43325066821063,85.43325066821063,33.752161411917584,98.98939580881994
38,na,85.43325066821063,85.43325066821063,98.98939580881994,98.98939580881994
39,na,85.43325066821063,85.43325066821063,30.68031404526296,98.98939580881994
40,na,85.43325066821063,85.43325066821063,19.73136915048462,20.329246997187028
