node, assignment, time2inf_trt, time2inf_con
0,na,0,0
1,na,0,0
2,na,137.29981770998072,129.81530608674578
3,na,137.29981770998072,129.81530608674578
4,na,31.707280419339,15.198608038584569
5,na,17.682431748450025,76.83134236867527
6,e,49.92626515613499,18.422664756445755
7,na,33.78116016229025,83.42987564615945
8,na,65.81897213090934,42.51637734050055
9,na,29.553257743130683,20.163571711041747
10,na,53.69479155187756,30.682782928042112
11,na,60.86899891684752,26.52693531815479
12,na,70.57389655505719,44.9985945527127
13,na,41.38579310358525,24.95127056061009
14,na,21.96844219929788,31.8252071604046
15,na,61.92273210986652,64.93071533545995
16,na,26.52023097637179,129.81530608674578
17,na,37.81820062096868,23.561555838554327
18,na,15.373165971611543,48.776963706455504
19,na,28.439181712419348,74.9886411316224
20,na,58.025006085257246,12.495897834510904
21,na,27.61642696418469,35.2676418051164
22,na,37.37425494460604,57.98090741474267
23,na,17.731920922210673,44.7401286693061
24,e,53.61040544507914,26.68248514089287
25,na,58.39927698799364,27.341079114241317
26,na,69.97107106541286,42.05014497783911
27,na,20.7692580971639,26.391973355256106
28,na,79.31211268185487,40.70199185921562
29,na,45.9944220852305,43.51169737517096
30,na,36.75367323638486,40.82004716055636
31,na,26.582351662019263,31.696236377213552
32,na,20.91892733048118,51.48125949672055
33,na,38.884261240521724,32.752546928752714
34,na,137.29981770998072,43.84453925734963
35,na,10.82596858562879,36.275210700630986
36,na,34.025346532443216,15.998401770527487
37,na,37.46079068134905,15.827425679113816
38,e,137.29981770998072,129.81530608674578
39,e,57.05848704153727,28.27026709676669
40,na,36.47372446933395,54.537534556906394
41,na,40.13832447453163,35.86515870130412
42,na,51.30970380603838,48.68525502997956
43,na,55.1829720675976,44.717241757481965
44,na,42.51601372552524,60.1275681885702
45,na,42.600284372092545,50.810143441085444
46,na,45.73427454553447,32.433411482177455
47,na,53.385249998963474,39.571965625889355
48,na,59.31437382417132,29.89187543966994
49,na,51.57396149068449,48.05587075615521
50,na,43.367286653768296,16.021023665266767
51,na,137.29981770998072,73.69468902456224
52,na,33.59875711744911,47.889206807008236
53,na,45.55766200996476,18.18575257375386
54,na,37.102295113566804,30.754485970316388
55,na,37.267246906839944,68.6364327487489
56,na,34.81308255317679,11.602334856316723
57,na,51.04106370923318,39.361485046911476
58,na,29.0416832175875,23.786402641793234
59,na,32.417219367211565,3.0211103409299245
60,na,36.08170258891922,41.33607812503548
61,na,31.791509932272152,42.40157216981437
62,na,16.235895867042167,48.07899451992489
63,na,65.49929823550436,66.18279476031135
64,na,137.29981770998072,37.0216286297737
65,na,0,0
66,na,22.304696153609036,48.003982299804214
67,e,62.30041832914327,36.182422847408674
68,na,46.22855007616618,129.81530608674578
69,na,40.783977202196034,25.64989117982213
70,e,137.29981770998072,45.90118274572652
71,na,7.3449565919584785,54.15350375190876
72,na,41.69978704661161,18.240557673634854
73,na,16.100140424800795,86.6781993944823
74,na,12.844525934368145,68.23882732007387
75,na,77.19603279990794,44.91781104570378
