node, assignment, time2inf_trt, time2death_trt, time2inf_con, time2death_con
343,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
344,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
345,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
346,na,258.60180357877385,258.60180357877385,44.920360886775356,62.13835223476609
347,na,54.03906038480206,83.75190159476777,440.8314308507724,440.8314308507724
348,e,258.60180357877385,258.60180357877385,236.31960732373526,252.20662023534456
349,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
350,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
351,na,116.03241371316874,122.80872751129874,136.4795553606848,147.75079803888266
352,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
353,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
354,na,258.60180357877385,258.60180357877385,182.25118728403797,184.0662511239174
355,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
356,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
357,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
358,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
359,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
360,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
361,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
362,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
363,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
364,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
365,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
366,e,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
367,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
368,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
369,e,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
370,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
371,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
372,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
373,na,258.60180357877385,258.60180357877385,249.9868033577496,262.1175633354519
374,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
375,na,258.60180357877385,258.60180357877385,440.8314308507724,440.8314308507724
